seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
53,0.5,-0.001969202692840989,0.5141131202438196,0.41899029424724504,0.2640479881064292,0.217,0.399,0.51619804400978,0.48380195599022,0.015843354969868356,3272
54,0.5,0.01650388563624282,0.5209192771551802,0.4243098693253454,0.2710855364185636,0.225,0.401,0.525403466826061,0.474596533173939,0.023665554221413032,3346
55,0.5,-0.000664108979731858,0.5091675472777509,0.4142175397679086,0.25899233960963985,0.214,0.399,0.5012890289315383,0.49871097106846174,0.0016289882956549706,3491
56,0.5,-0.00730671625915328,0.4939693703778795,0.403047644323112,0.24376173313264723,0.195,0.419,0.5267175572519084,0.4732824427480916,0.025602024382475025,3406
57,0.5,-0.0030456322152360863,0.4684860007936064,0.3790958075034315,0.21925965380664741,0.158,0.456,0.5061481269659708,0.4938518730340292,0.006317398219210374,3497
58,0.5,-0.0025440649094786386,0.4931924757739684,0.3981498864911037,0.2429955793418964,0.187,0.417,0.5049389889599071,0.4950610110400929,0.0035229367695237823,3442
59,0.5,0.018939059029703116,0.5223476884092443,0.4262899384375795,0.2725742604788945,0.232,0.396,0.5153542110063849,0.4846457889936151,0.015164416460925034,3289
60,0.5,0.018479709284030598,0.48607065260891397,0.3950215948809669,0.23602841464832786,0.19,0.449,0.5036243302867949,0.4963756697132051,0.0026252005458706484,3173
61,0.5,0.017690666488765723,0.5302668854299748,0.4333802718833493,0.2809017868138225,0.234,0.395,0.5218539161044294,0.47814608389557056,0.021307263073376048,3409
42,0.7,-0.0029162183723397883,0.5045172074312534,0.4277872871513655,0.25428307498163616,0.131,0.37,0.5236075770426916,0.47639242295730844,0.021479488433005317,3537
43,0.7,-0.009215413917280018,0.49263698323607624,0.41811305697726325,0.24244850605469012,0.103,0.375,0.516100957354221,0.483899042645779,0.015852317519664427,3447
44,0.7,0.010720221541850367,0.5240287679488923,0.4454571070534972,0.274331543488396,0.147,0.351,0.537721671175233,0.46227832882476705,0.03450198306843566,3327
45,0.7,0.03959753170616565,0.5066941079771005,0.4302326889752203,0.25648218013965085,0.126,0.358,0.5221183800623053,0.47788161993769473,0.014774493032294056,3210
46,0.7,0.006492381317455884,0.4994041180249053,0.42209883193910025,0.2491550686271333,0.122,0.379,0.5284178187403994,0.4715821812596006,0.028730656475318528,3255
47,0.7,-0.005186266193800121,0.488896149897919,0.41845024705694234,0.23878042593962348,0.1,0.356,0.5195101110794645,0.48048988892053546,0.017598922990665344,3511
